frase,situacao
dor no peito e falta de ar,alto risco
aperto no peito ao caminhar,alto risco
cansaco extremo e tontura,alto risco
palpitacoes frequentes e suor,alto risco
falta de ar ao subir escadas,alto risco
batimentos acelerados e dor no peito,alto risco
dor intensa no torax,alto risco
tontura com desmaio,alto risco
dificuldade para respirar e fadiga,alto risco
pressao alta e dor no peito,alto risco
sensacao de aperto no peito constante,alto risco
fadiga extrema sem motivo aparente,alto risco
dor no peito irradiando para o braco,alto risco
falta de ar mesmo em repouso,alto risco
desmaio repentino com tontura,alto risco
palpitacoes e falta de ar,alto risco
dor forte no peito durante a noite,alto risco
cansaco extremo ao acordar,alto risco
pressao alta constante com tontura,alto risco
batimentos irregulares com fraqueza,alto risco
leve dor nas costas,baixo risco
cansaco leve apos atividade,baixo risco
desconforto leve apos refeicao,baixo risco
dor muscular leve,baixo risco
leve tontura ocasional,baixo risco
fadiga leve no fim do dia,baixo risco
leve falta de energia,baixo risco
desconforto leve no peito,baixo risco
dor leve ao respirar,baixo risco
sensacao leve de cansaco,baixo risco
leve dor de cabeca ocasional,baixo risco
zumbido no ouvido em dias quentes,baixo risco
nausea leve apos refeicao,baixo risco
leve indisposicao ao longo do dia,baixo risco
cansaco leve ao final do expediente,baixo risco
dor leve no braco sem esforco,baixo risco
leve falta de concentracao,baixo risco
sensacao leve de tontura ao levantar,baixo risco
mal estar leve apos atividade,baixo risco
leve desconforto abdominal,baixo risco